Drug Name,Article Content,Side Effects
Co-codamol-for-adults,"Co-codamol is a mixture of 2 different painkillers – paracetamol and codeine . It's used to treat aches and pains including headaches , muscle pain, migraines and toothache . It may help to take co-codamol if everyday painkillers, such as ibuprofen , aspirin or paracetamol on its own, have not worked. This medicine comes as tablets and capsules, including soluble tablets that you dissolve in water. Co-codamol tablets and capsules come in 3 strengths. You can buy the lowest strength from pharmacies but the higher strengths are only available on prescription. For children and young people under 18 years old, read our information on co-codamol for children . Key facts Co-codamol takes up to 1 hour to work. It keeps on working for about 5 hours. The most common side effects of co-codamol are constipation, feeling sick (nausea) or feeling sleepy. Taking too much co-codamol can be harmful. Do not increase the dose, even if your pain is very bad. It's possible to become addicted to the codeine in co-codamol, but your doctor will explain how to reduce the risks of becoming addicted. If you need to take co-codamol for more than a few weeks, your treatment plan may include details of how and when to stop taking this medicine.","The most common side effects of co-codamol are constipation, feeling sick (nausea) or feeling sleepy."
Co-codamol-for-children,"Co-codamol is a mixture of 2 different painkillers – paracetamol and codeine . It's used to treat aches and pains including headaches , migraine , muscle pain and toothache . Children and young people aged 12 to 17 years old can take co-codamol but only if everyday painkillers, such as ibuprofen or paracetamol on its own, have not worked. Do not give co-codamol to children under 12 years old. It can cause severe breathing problems. This medicine comes as tablets and capsules. Co-codamol tablets and capsules come in 3 strengths. You can buy the lowest strength from pharmacies but higher strengths are only available on prescription. For adults aged 18 years old and over, read our information on co-codamol for adults . Key facts Co-codamol takes up to 1 hour to work. It keeps on working for about 5 hours. Common side effects include constipation, feeling or being sick and feeling sleepy. Giving your child too much co-codamol can be harmful. Do not increase the dose, even if their pain is very bad. It's possible to become addicted to the codeine in co-codamol, but your child's doctor will explain how to reduce the risks of this happening. Co-codamol is also known by many different brand names. Talk to your pharmacist if you have any questions about different brands.",
Co-dydramol,"Co-dydramol is a mixture of 2 different painkillers: paracetamol and dihydrocodeine . Dihydrocodeine belongs to a group of medicines called opiates. It's used to treat aches and pains, including headaches , migraines , muscle and joint pain , period pain and toothache . Paracetamol and dihydrocodeine work by blocking messengers in the nerves and brain that tell your body that you're in pain. You'll usually take co-dydramol when everyday painkillers such as aspirin , ibuprofen and paracetamol have not worked on their own. Co-dydramol comes in 4 different strengths. You can buy lower-strength tablets from pharmacies. Higher-strength tablets are only available on prescription. Co-dydramol usually comes as tablets. Key facts Co-dydramol takes up to 1 hour to work and keeps working for about 5 hours. The most common side effects of co-dydramol are constipation and feeling sick or sleepy. If you've bought co-dydramol from a pharmacy, do not use it for more than 3 days without talking to your doctor. It's possible to become addicted to the dihydrocodeine in co-dydramol, but your doctor will explain how to reduce the risks of becoming addicted. If you need to take co-dydramol for more than a few weeks, your treatment plan may include details of how and when to stop taking this medicine.",The most common side effects of co-dydramol are constipation and feeling sick or sleepy.
Coal-tar,"Coal tar is a medicine that's used on the skin and scalp to treat itching, irritation and dry patches (scaling and flaking). It also has some antibacterial properties. It comes as a cream, ointment, scalp lotion, shampoo or a liquid you add to your bath (emulsion additive). Coal tar can help with problems such as: eczema psoriasis seborrheic dermatitis dandruff Most coal tar products are mild. You can buy them from a pharmacy or shop, or get them on prescription. Coal tar is sometimes combined with other ingredients such as calamine, coconut oil, salicylic acid, dithranol, precipitated sulfur or zinc oxide. These combined products are available as brands called Capasal, Cocois and Sebco. Key facts Do not use coal tar that you buy from shops or pharmacies on your face, around your bottom, on your genitals or on broken or infected skin. Talk to your pharmacist about coal tar products for these areas. For adults, symptoms should improve within 4 weeks of using coal tar treatment. For children, it should be within about 2 weeks. If your symptoms do not get better, speak to your pharmacist or doctor. Most people do not have any side effects from coal tar, but it can sometimes cause skin irritation, increased sensitivity to the sun (photosensitivity) and acne breakouts. Coal tar may stain your skin, hair, clothes or bedding and has a strong smell. Some coal tar products contain ingredients that are flammable, which can cause clothes or bedding to burn more easily. Check your product label.",
Codeine,"Codeine is a painkiller that is part of a group of medicines called opiates. It's used to treat pain, for example, after an operation or an injury. It's also used for ongoing pain when painkillers such as paracetamol , ibuprofen and aspirin have not worked. Codeine is also used to treat diarrhoea . It works in the central nervous system and the brain to block pain signals to the rest of the body. It also reduces the anxiety and stress caused by pain. Codeine is available on prescription and comes as tablets, a liquid you swallow, a syrup (linctus) and as an injection. Codeine injections are usually only given in hospital. You can also buy lower-strength codeine from a pharmacy. It comes mixed with paracetamol ( co-codamol ) or with aspirin ( co-codaprin ) or with ibuprofen ( Nurofen Plus ). Key facts The most common side effects of codeine are constipation, feeling sick (nausea) and feeling sleepy. It's possible to become addicted to codeine, but your doctor will explain how to reduce the risks of this happening. If you need to take codeine for more than a few weeks, your treatment plan may include details of how and when to stop taking this medicine. It may be best not to drink alcohol while taking codeine as you're more likely to get side effects like feeling sleepy. Do not give codeine to children under 12. Only give codeine to children aged 12 to 18 if everyday painkillers, like paracetamol and ibuprofen , have not worked.","The most common side effects of codeine are constipation, feeling sick (nausea) and feeling sleepy."
Colchicine,"Colchicine is a medicine for treating inflammation and pain. It works by reducing the inflammation caused by the crystals of uric acid that build up in your joints when you have gout. This also helps to reduce pain. It can be used to: treat gout prevent gout from coming back when you first start on long-term medicines like allopurinol prevent symptoms of familial Mediterranean fever (FMF), an inherited inflammatory condition Colchicine is available on prescription. It comes as tablets. Key facts Colchicine starts to work after around 30 minutes to 2 hours, but it may take a day or two for your pain to start to get better. It's important to stick to your prescribed dose. Taking even a little bit more can be very serious. Avoid grapefruit and grapefruit juice while taking colchicine. It can increase the amount of colchicine in your body. Taking colchicine with or after food may be easier on your stomach. Drinking too much alcohol can increase the level of uric acid in your blood. This could make your gout worse.",
Colecalciferol,"Colecalciferol is a form of vitamin D . It helps your body to take in more calcium and phosphorous from the food you eat, and helps your kidneys to keep more calcium instead of peeing it out. We usually get our vitamin D through exposure to sunlight and our diet. Not having enough vitamin D in your body can lead to bone conditions such as rickets and osteomalacia in children, and osteoporosis (thinning of the bones) in adults. Long-term vitamin D deficiency can cause bone loss, muscle weakness, falls and fractures in older people. Everyone can benefit from taking colecalciferol as a daily vitamin D supplement. Adults who are not at risk of vitamin D deficiency should consider taking a daily supplement of 10 micrograms (mcg) of vitamin D during autumn and winter. Adults who are at risk of vitamin D deficiency should take a daily supplement of 10 micrograms of vitamin D, throughout the year. It is recommended that you take vitamin D if you have a deficiency, or to prevent a deficiency if you: are not often outdoors, for example if you're housebound or in an institution, like a care home are pregnant or breastfeeding usually wear clothes that cover up most of your skin when you're outside have dark skin – darker skin may not make enough vitamin D from sunlight are 1 to 4 years old or a baby that is breastfed or having less than 500ml of infant formula a day Vitamin D deficiency is the most common cause of rickets so if your child has low vitamin D levels, your doctor may prescribe colecalciferol for them. To find out if you have low vitamin D levels, your doctor will give you a blood test. If your levels are severely low, they may prescribe a loading dose course of vitamin D. This is a high strength dose that is only available on prescription. If your vitamin D levels are OK, or you want to prevent deficiency, you can buy lower dose colecalciferol from pharmacies and shops. Colecalciferol comes as chewable, dissolvable (soluble) and melt-in-the-mouth (orodispersible) tablets, capsules, a syrup, and oral drops. There is also a type of vitamin D called calcipotriol , which sounds similar to colecalciferol. Calcipotriol is used to treat the skin condition caused by plaque psoriasis. Key facts Taking low doses of colecalciferol daily is safe and does not normally cause side effects. Taking too much colecalciferol can cause calcium and phosphate to build up in your body (hypercalcaemia). It may take a few weeks or months to raise your vitamin D levels after a loading dose and you may not feel any different. You'll usually take a blood test 1 month after starting your treatment and then again after 3 to 6 months to check your levels. Most of your vitamin D comes from exposure to sunlight but you can also get it from your diet by eating more oily fish and foods with added nutrients. There are many different brands of colecalciferol. Other brand names include Hux D3, Lamberts, Pro D3, Solgar and SunVit.",
Cyanocobalamin,"Cyanocobalamin is a manufactured version of vitamin B12. It's used to treat and prevent vitamin B12 deficiency anaemia (when you have low levels of this vitamin in your body). It works by increasing your levels of vitamin B12. Your body needs vitamin B12 to make red blood cells and keep your nervous system healthy. You can get vitamin B12 from your food or supplements, but sometimes there may not be enough of it in what you eat. This can happen if you eat a vegan diet or if you do not regularly eat meat, fish or dairy products. Some conditions or treatments can stop you absorbing enough vitamin B12 from the food you eat. These include: pernicious anaemia low stomach acid due to swelling (inflammation) in the stomach lining, or certain medicines stomach surgery ( gastrectomy ) inflammation in your intestines because of conditions like Crohn's disease or coeliac disease an infection in your stomach or intestine Cyanocobalamin comes as tablets that may be available on prescription. It can also be given as an injection, but this is generally not available on the NHS. If your doctor prescribes vitamin B12 injections, they'll usually give you hydroxocobalamin , another type of vitamin B12. You can also buy vitamin B12 supplements containing cyanocobalamin from pharmacies and shops. These come as tablets, capsules, mouth sprays and drops. Key facts You'll usually take cyanocobalamin tablets every day to prevent or treat vitamin B12 deficiency. However, you may also need vitamin B12 injections at first to boost your levels. It may take a few weeks before your vitamin B12 levels and symptoms (such as extreme tiredness or lack of energy) start to improve. Most people do not have any side effects from cyanocobalamin tablets. Some people may be able to stop taking cyanocobalamin when their vitamin B12 blood levels are back to normal. You may have regular blood tests while taking cyanocobalamin, to monitor the levels of vitamin B12 in your blood.",
Cyclizine,"Cyclizine is an anti-sickness medicine. It's an antihistamine that is used to help stop you feeling or being sick (nausea or vomiting). It works by blocking a chemical called histamine in your brain that can make you feel sick. You can take cyclizine to treat morning sickness , vertigo and motion sickness . You can also take it to treat sickness caused by general anaesthetics after surgery, cancer treatment or other medicines, and some inner ear problems such as Ménière's disease . Cyclizine is available on prescription and to buy from pharmacies. It comes as tablets and is also available as an injection. Key facts You can usually take cyclizine when you need it, up to 3 times a day. Common side effects include feeling sleepy and blurred vision. Cyclizine starts to work about 30 minutes after taking it. You should feel better after 1 to 2 hours. Do not drive, cycle or operate heavy machinery if cyclizine makes you feel sleepy or dizzy or affects your concentration. Avoid drinking alcohol while taking cyclizine. Alcohol increases the risk of side effects.",
Dabigatran,"Dabigatran is a type of medicine known as an anticoagulant. It makes your blood flow through your veins more easily. This means your blood will be less likely to make a dangerous blood clot. It's used to treat people who have had a health problem caused by a blood clot, such as: a stroke a heart attack a blood clot in the leg ( deep vein thrombosis, or DVT ) a blood clot in the lungs ( pulmonary embolism ) It's also used to prevent blood clots if you're at high risk of having them in the future. People who are at high risk include those who have: an irregular heartbeat ( atrial fibrillation ) recently had surgery to replace a hip or knee joint Dabigatran is only available on prescription. It comes as capsules. Key facts You'll usually take dabigatran twice a day. You can take dabigatran with or without food. The most common side effect of dabigatran is bleeding more easily than normal, such as having nosebleeds, heavier periods, bleeding gums and bruising. Your doctor or pharmacist will give you an anticoagulant alert card. Always carry this with you. Show it to your doctor or dentist before you have surgery or dental treatment. It's important they know you're taking dabigatran, as it may put you at risk of bleeding. You can drink alcohol while taking dabigatran. But heavy drinking, especially binge drinking, can increase the effect of dabigatran and make you more likely to bleed.",
Dapagliflozin,"Dapagliflozin is mainly used to treat type 2 diabetes . It can also be used to treat heart failure and chronic kidney disease (CKD) . Dapagliflozin is usually prescribed if: you have type 2 diabetes and cannot take metformin the medicine you have been taking is not controlling your blood sugar properly – this may mean taking dapagliflozin with other diabetes medicines at the same time you have heart failure – it can reduce the risk of the heart getting weaker, and help symptoms such as tiredness you have chronic kidney disease – it helps to slow the rate at which the condition gets worse Dapagliflozin is only available on prescription and comes as tablets. Dapagliflozin also comes combined with other diabetes medicines. Brand names include Xigduo (dapagliflozin with metformin ) and Qtern (dapagliflozin with saxagliptin ). Key facts Dapagliflozin works on your kidneys. It increases the amount of sugar removed from your body when you pee. It can also reduce the amount of work your heart needs to do to pump blood around the body. Dapagliflozin usually starts to work (reduce your blood glucose levels) after about 2 hours, but it may take up to a week for it to take full effect If you're taking dapagliflozin with other diabetes medicines, it can sometimes cause low blood sugar (hypoglycaemia) . It's a good idea to always carry sweets or fruit juice with you in case this happens. Unlike some diabetes medicines, dapagliflozin does not make you put on weight. In fact, some people find they lose weight. If you have diabetes, you're entitled to free prescriptions for all of your medicines, not just your diabetes ones.",
Dexamethasone-eye-drops,"Dexamethasone eye drops are a type of medicine called a steroid (corticosteroid) . Steroids are copies of a hormone your body makes naturally. They're not the same as anabolic steroids . They're used to treat eye inflammation by reducing swelling, redness and irritation. These can be symptoms of eye injuries, surgery, or damage caused by severe allergies or chemicals. It's also safe to use dexamethasone eye drops in the ear but only when you've been advised to do so by a doctor. Dexamethasone eye drops come in eye-drop bottles, which may have a preservative in them, or in single dose droppers that are preservative-free. It's available on prescription only. Dexamethasone eye drops and ointment are also available combined with antibiotics to treat eye inflammation and infection. Brand names include Maxitrol, Sofradex or Tobradex for eyes and Sofradex or Otomize for ears. Dexamethasone also comes as tablets, a liquid that you swallow , and injections. These are used to treat severe allergy symptoms, croup and lupus . It is also used in hospitals for severe cases of COVID-19 and other serious infections. Key facts You'll usually use dexamethasone eye drops 4 to 6 times a day. To get the full benefit, use them regularly, as recommended by your doctor. Dexamethasone eye drops start to work within a couple of days. If you've been using dexamethasone eye drops for more than 1 to 2 weeks, your doctor may ask you to gradually reduce how often you use them each day until you stop completely. Common side effects include eye irritation and blurred vision.",
Dexamethasone-tablets-and-liquid,"Dexamethasone is a type of medicine called a steroid (or corticosteroid). Steroids are copies of a hormone your body makes naturally. They're not the same as anabolic steroids . Dexamethasone tablets and liquid are used to treat a wide range of health conditions. These include: severe skin conditions severe allergies ( anaphylaxis ) sickness (nausea and vomiting) croup swelling (inflammation) in your eye autoimmune conditions, such as lupus It's used in hospitals as a treatment for severe COVID-19 and other serious infections. It can also help reduce the side effects of cancer treatment, or some of your symptoms if you're having end of life care . It's available on prescription only and comes as tablets, soluble tablets and as a liquid you drink. It can be given by injection but this is usually only done in hospital. Dexamethasone also comes as eye drops and a spray to treat eye and ear infections. Key facts You usually take dexamethasone tablets or liquid once a day. It's best to take it in the morning so it does not affect your sleep. Common side effects include sleep problems, mood changes and indigestion. Taking dexamethasone tablets or liquid can mean you're more likely to get infections. Tell your doctor if you get an infection, such as COVID-19, or if you come into contact with anyone who has measles , chickenpox or shingles while you're taking dexamethasone. If you take dexamethasone for more than 3 weeks, or take more than 6mg a day, you'll get a blue steroid card. You may also need to carry a red steroid emergency card. Ask your pharmacist or doctor about both of these. You'll need to carry a red steroid emergency card if you take dexamethasone to treat Addison's disease, congenital adrenal hyperplasia, other adrenal problems, adrenal insufficiency or hypothalamic or pituitary disorder.",
Diazepam,"Diazepam belongs to a group of medicines called benzodiazepines. It's used to treat anxiety, muscle spasms and seizures or fits. It's also used in hospital to reduce alcohol withdrawal symptoms, such as sweating or difficulty sleeping. It can also be taken to help you relax before an operation or other medical or dental treatments. This is known as a pre-med. It works by increasing the levels of a calming chemical in your brain called gamma-aminobutyric acid (GABA). Diazepam is available on prescription only. It comes as tablets, a liquid that you swallow, or in a rectal tube – medicine that's squeezed into your bottom (anus). It can also be given as an injection in hospital. Key facts The most common side effect of diazepam is feeling drowsy. You're not recommended to use diazepam for longer than 4 weeks. If you take diazepam and feel sleepy, do not drive, cycle or use tools or machines. Do not drink alcohol while taking diazepam. It can make you sleep very deeply. You may have breathing problems and difficulty waking up. It's possible to get addicted to diazepam, but you're less likely to get addicted if you take it at the lowest dose that helps your symptoms, for up to 4 weeks. Diazepam is also known as Valium, but this brand is not available in the UK anymore.",
Diclofenac,"Diclofenac is a non-steroidal anti-inflammatory drug (NSAID) medicine that reduces swelling (inflammation) and pain. It's used to treat aches and pains, as well as problems with joints, muscles and bones. This includes arthritis , sprains, back pain , migraines or after dental surgery . There are different types of diclofenac. It comes as: tablets and capsules, including slow-release tablets and capsules, that are prescription only suppositories that are prescription only gel, patches and plasters for joint pain that you can buy from pharmacies injection or as eyedrops that are usually given in hospital a high strength gel used to treat dry, scaly patches of skin caused by sun damage ( actinic keratoses ) – this treatment is usually started after assessment by a dermatologist and is not covered here Key facts Diclofenac tablets and capsules take 20 to 30 minutes to work. Suppositories take a few hours to work and gel, plasters and patches can take up to 1 to 2 days. It's best to take the lowest dose of diclofenac for the shortest time to control your symptoms. Taking diclofenac long term, or in high doses, can cause damage to the stomach such as an ulcer. Take diclofenac tablets or capsules with a meal or snack, or just after eating. Common side effects are stomach pain, feeling or being sick and rashes. Diclofenac gel and plasters can be used twice a day to target pain in a particular area of your body.",
Digoxin,"Digoxin is a type of medicine called a cardiac glycoside. It's used to control some heart problems, such as irregular heartbeats ( arrhythmias ) including atrial fibrillation . It can also help to manage the symptoms of heart failure , usually with other medicines. It's normally recommended when these other medicines have not been enough to control your symptoms on their own. It works by slowing down your heart rate and making your heart beat more strongly, which makes it easier for your heart to pump blood around your body. Digoxin is only available on prescription. It comes as tablets and as a liquid (sometimes called an elixir). It can also be given as an injection, but this is usually done in hospital. Key facts It can take several weeks for digoxin to start working. You will not feel better straight away but you should notice improvements after a few weeks. Common side effects include feeling dizzy, feeling or being sick, diarrhoea, changes in your vision or skin rashes If digoxin makes you feel dizzy it's best not to drink alcohol. Wait to see how the medicine affects you. You can drive or ride a bike if you feel OK while taking it. Do not drive or cycle if you feel dizzy or have problems with your vision. You'll need regular blood tests while taking digoxin to check that your kidneys are healthy and you have the right amount of potassium, magnesium and calcium in your blood. If you need an operation, tell your doctor that you're taking digoxin. They'll tell you if you need to stop taking it before your treatment.",
Dihydrocodeine,"Dihydrocodeine is an opioid painkiller. It's used to treat moderate to severe pain, such as after an operation or a serious injury. It's also used for long-term pain if weaker painkillers, such as paracetamol , ibuprofen and aspirin , have not worked. It works by blocking pain signals from the central nervous system and the brain. Dihydrocodeine is only available on prescription. It comes as standard tablets, slow-release tablets and as a liquid that you swallow. It can also be given by an injection into the muscle or under the skin. This is usually done in hospital. Co-dydramol, Paramol, Remedeine and Remedeine Forte are brand names that contain dihydrocodeine and paracetamol. Key facts Standard dihydrocodeine tablets take between 1 and a half and 2 hours to work fully. Slow-release tablets may take longer to work but they last longer. It's possible to become addicted to dihydrocodeine, but your doctor will explain how to reduce the risks of becoming addicted. If you need to take dihydrocodeine for more than a few weeks, your treatment plan may include details of how and when to stop taking this medicine. The most common side effects are feeling or being sick, feeling drowsy, and constipation.","The most common side effects are feeling or being sick, feeling drowsy, and constipation."
Diltiazem,"Diltiazem is a medicine used to treat high blood pressure . If you have high blood pressure, taking diltiazem helps to prevent coronary heart disease , heart attacks and strokes . It works by lowering your blood pressure and making it easier for your heart to pump blood around your body. Diltiazem is also used to: prevent chest pain caused by angina reduce the frequency of attacks in Raynaud's phenomenon help heal an anal fissure Diltiazem is available on prescription only. It comes as tablets or capsules to treat high blood pressure, angina or Raynaud's. It's also available as a cream or ointment to treat anal fissures. Key facts Diltiazem starts to work on the day you start taking it, but for high blood pressure and angina it may take a couple of weeks to work fully. You can take diltiazem at any time of day. Try to make sure it's around the same time or times every day. Common side effects include swollen hands, ankles or feet, a pounding heartbeat (palpitations) and constipation. If diltiazem makes you feel dizzy or drowsy, do not drive a car, ride a bike, or use tools or machinery until you feel better.",
Dipyridamole,"Dipyridamole is an antiplatelet medicine. It prevents a type of blood cell (platelets) sticking together and forming a dangerous blood clot. Dipyridamole helps to prevent blood clots if you have an increased risk of having them. Your risk is higher if you've had: a stroke or ""mini-stroke"" (transient ischaemic attack or TIA) an operation on your heart to replace your heart valve Dipyridamole is only available on prescription. It comes as tablets and slow-release capsules (also called modified release). It's also available as a liquid if you find it difficult to swallow tablets or capsules. Your doctor may prescribe dipyridamole alone or with daily low-dose aspirin . Key facts You'll usually take dipyridamole 2 to 4 times a day, depending on which type you're taking. The most common side effects of dipyridamole include feeling or being sick, feeling dizzy and diarrhoea. Do not drink too much alcohol while taking dipyridamole as this can make you feel dizzy or lightheaded. If dipyridamole makes you feel dizzy, do not drive, cycle or use tools or machinery until you feel better. If you're due to have surgery, let the doctors know that you take dipyridamole. They might ask you to stop taking it before surgery.","The most common side effects of dipyridamole include feeling or being sick, feeling dizzy and diarrhoea."
Docusate,"Docusate is a type of medicine called a laxative. It helps to soften your poo and makes it easier for you to go to the toilet if you have problems pooing ( constipation ). Docusate may help you if: your poos are dry and it makes it difficult for you to poo you have piles (haemorrhoids) you have a tear in the lining of your intestine, near your anus ( anal fissure ) you're going to have a stomach x-ray as it can help you empty your bowels beforehand Docusate comes as capsules and as a liquid that you swallow. It also comes as an enema. This is a tube of liquid medicine that you squeeze into your anus (bottom). Docusate is available on prescription and to buy from pharmacies. Key facts Docusate capsules and liquid take 1 to 3 days to work. Side effects can include feeling sick (nausea), stomach cramps and diarrhoea. Docusate enemas usually work within 20 minutes, so it's best to stay close to a toilet. Do not use a docusate enema if you have piles (haemorrhoids) or a tear near your anus (anal fissure). Only give docusate to a child under 12 years old if a doctor prescribes it or a pharmacist recommends it. Do not take docusate for more than 5 days, unless it's prescribed by a doctor. Talk to a doctor if you still have constipation after 5 days.",
Domperidone,"Domperidone is an anti-sickness medicine. It helps you to stop feeling or being sick (nausea or vomiting) . It works by causing the muscles at the top of your stomach to tighten and the muscles at the bottom of your stomach to relax. This makes you less likely to be sick (vomit). Domperidone can also be used to treat stomach pain if you're having end of life care (palliative care). It is sometimes used to increase milk supply. Your doctor may prescribe it if you're having trouble breastfeeding but only if other things have not worked. Domperidone is available on prescription only. It comes as tablets or as a liquid that you swallow. Key facts You can take domperidone when you need it, up to 3 times a day. Domperidone should start to work in about 30 to 60 minutes. It works best if you take it before meals. The most common side effect of domperidone is a dry mouth, but this is usually mild and goes away by itself. Domperidone is usually only prescribed for a short time (up to 1 week).",
Donepezil,"Donepezil is a medicine that helps with some types of dementia. It does not cure dementia. However, it treats some of the symptoms of Alzheimer's disease , Parkinson's disease and dementia with Lewy bodies . It can also help with mixed dementia. This is when you have more than one type of dementia. Donepezil is available on prescription only. It comes as tablets, including tablets that melt in your mouth, and as a liquid that you swallow. Key facts Donepezil is not a cure for dementia but it can help with symptoms like being forgetful or confused. It usually takes at least a month for donepezil to start working, but it can take longer for some people. The most common side effects of donepezil are diarrhoea, headaches and feeling sick (nausea). You can take it with or without food. Drinking alcohol stops donepezil from working as well as it should. It also increases the risk of side effects.","The most common side effects of donepezil are diarrhoea, headaches and feeling sick (nausea)."
Dosulepin,"Dosulepin is an antidepressant medicine that is used to treat depression . Occasionally, dosulepin is also used for some types of nerve pain, such as fibromyalgia , and to prevent migraines . Dosulepin is available on prescription, but usually only if you're already taking it and have not had any serious side effects. It comes as capsules and tablets. Key facts Unless recommended by a specialist, dosulepin is no longer prescribed to new patients. This is because of concerns about side effects. For depression, it usually takes 4 to 6 weeks to work fully. It usually takes 2 to 6 weeks to work fully if you're taking it for pain or migraine. Common side effects of dosulepin include constipation, feeling dizzy, a dry mouth, feeling sleepy, difficulty peeing or headaches. If dosulepin makes you feel sleepy, do not drive, cycle or use machinery until you feel better. Dosulepin can cause withdrawal symptoms if you stop taking it suddenly. Talk to your doctor if you're thinking of stopping.",
Doxazosin,"Doxazosin belongs to a group of medicines called alpha blockers. It's used to treat high blood pressure (hypertension) and symptoms of an enlarged prostate ( benign prostatic enlargement ). Alpha blockers reduce blood pressure by relaxing your blood vessels so blood can pass through them more easily. Doxazosin helps to reduce the symptoms of an enlarged prostate gland by relaxing the muscle around the bladder and prostate gland so you can pee more easily. This medicine is only available on prescription and comes as tablets. Key facts You usually take doxazosin once a day. You can take it in the morning or evening, but it's best to take it at the same time every day. The main side effects of doxazosin are headaches, swollen feet, ankles or fingers, needing to pee suddenly or more often, or pain in your lower stomach (abdomen). Doxazosin can make you feel dizzy, or like you or everything around you is spinning (vertigo). If you feel dizzy, do not drive a car, ride a bike or use tools or machinery until you feel OK again. If you are due to have surgery, talk to the nurse or doctor at your pre-assessment appointment. They will tell you if you need to stop taking it before your operation. If you are taking medicines for erectile dysfunction, tell your doctor. Taking them with doxazosin may make you feel dizzy or light-headed.",
Doxycycline,"Doxycycline is an antibiotic that's used to treat infections including: chest and dental infections skin infections and conditions like rosacea sexually transmitted infections (STIs) other rare infections It can also be used to prevent malaria if you're travelling abroad. Doxycycline is available on prescription. It comes as capsules, tablets and tablets which dissolve in water (dispersible). Key facts For most infections, you'll start to feel better in a few days, but it's important to finish the course of medicine. Doxycycline works more slowly to treat the condition rosacea. A doctor can review it after about 4 weeks to check how well it's working. The most common side effects of doxycycline are headaches, feeling sick or being sick. It can also make your skin sensitive to the sun. It's best not to drink alcohol while taking doxycycline because it can stop it working properly. Doxycycline can sometimes cause thrush. If this happens, ask your doctor or pharmacist for advice.","The most common side effects of doxycycline are headaches, feeling sick or being sick. It can also make your skin sensitive to the sun."
Duloxetine,"Duloxetine is a type of antidepressant medicine known as a serotonin-noradrenaline reuptake inhibitor (SNRI). SNRIs are thought to work by increasing the amount of mood-enhancing chemicals, serotonin and noradrenaline, in your brain. It's used to treat depression and anxiety . It's also used to treat nerve pain, such as fibromyalgia , and can be used to treat stress urinary incontinence in women. Duloxetine comes as capsules. It is only available on prescription. Key facts Duloxetine usually takes 2 to 4 weeks to work. It may take longer if you're taking it for nerve pain. Common side effects include feeling sick, a dry mouth, headache, constipation and feeling sleepy. These side effects are usually mild and go away after a couple of weeks. If you and your doctor decide to take you off duloxetine, your doctor may recommend reducing your dose gradually to help prevent withdrawal symptoms. You may find you cannot concentrate properly while taking duloxetine. When you first start taking it, it's a good idea to stop driving and cycling, and avoid using machinery or tools, for the first few days until you know how this medicine makes you feel.",
Edoxaban,"Edoxaban is a type of medicine known as an anticoagulant. It makes your blood flow through your veins more easily. This means your blood will be less likely to make a dangerous blood clot. It's used to treat people who have had a health problem caused by a blood clot such as: a stroke a heart attack a blood clot in the leg ( deep vein thrombosis, or DVT ) a blood clot in the lungs ( pulmonary embolism ) It's also used to prevent blood clots if you're at high risk of having them in the future. People who are at high risk include those who have an irregular heartbeat, known as atrial fibrillation . Edoxaban is only available on prescription. It comes as tablets. Key facts You'll usually take edoxaban once a day. You can take edoxaban with or without food. The most common side effect is bleeding more easily than normal, such as having nosebleeds, heavier periods, bleeding gums and bruising. Your doctor or pharmacist will give you an anticoagulant alert card. Always carry this card with you. Show it to your doctor or dentist before you have surgery or dental treatment. It's important they know you're taking edoxaban, as it may put you at risk of bleeding. You can drink alcohol while taking edoxaban. But heavy drinking, especially binge drinking, can make you more likely to bleed.",
Empagliflozin,"Empagliflozin is a medicine that's mainly used to treat type 2 diabetes . Type 2 diabetes is a condition where the body does not make enough insulin, or the insulin that it makes does not work properly. This can cause high blood sugar levels (hyperglycaemia) . Empagliflozin works by helping your body to remove extra sugar through your pee. Your doctor may recommend empagliflozin for treating type 2 diabetes if: diet and exercise are not enough to control your blood sugar levels you cannot take metformin (another type of diabetes medicine) It can also be taken together with other diabetes medicines, such as insulin, if a single diabetes medicine is not controlling your blood sugar properly. Empagliflozin can also be used to treat: heart failure – it can reduce the risk of your heart getting weaker, and help symptoms such as tiredness chronic kidney disease (CKD) – it can help slow the rate at which the condition gets worse Empagliflozin is only available on prescription. It comes as tablets. It also comes combined with other diabetes medicines. Brand names include Synjardy (empagliflozin with metformin ) and Glyxambi (empagliflozin with linagliptin ). Key facts You'll usually take empagliflozin once a day. Empagliflozin starts to work after about 1 to 2 hours to reduce your blood sugar levels, but it may take up to a week for it to work fully. If you're taking empagliflozin with other diabetes medicines, it can sometimes cause low blood sugar (hypoglycaemia) . It's a good idea to carry some sweets or fruit juice with you in case this happens. Unlike some diabetes medicines, empagliflozin does not make you put on weight. In fact, some people find they lose weight. If you have diabetes, you're entitled to free prescriptions for all your medicines, not just your diabetes ones.",
